"Commodity.Code","Commodity","Partner.Code","Partner"
"28233","28233 - Remelting scrap ingots of iron or steel",740,"Suriname"
"52254","52254 - Iron oxides and hydroxides; earth colours containing 70% or more by weight of combined iron evaluated as Fe203",740,"Suriname"
"67121","67121 - Non-alloy pig-iron containing by weight 0.5% or less of phosphorus",740,"Suriname"
"67122","67122 - Non-alloy pig-iron containing by weight more than 0.5% of phosphorus",740,"Suriname"
"67123","67123 - Alloy pig-iron and spiegeleisen",740,"Suriname"
"67131","67131 - Granules of pig-iron, spiegeleisen, iron or steel",740,"Suriname"
"67132","67132 - Powders of pig-iron, spiegeleisen, iron or steel",740,"Suriname"
"67133","67133 - Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity of 99.94%, in lumps, pellets or similar forms",740,"Suriname"
"67241","67241 - Ingots of iron (other than iron of heading 671.33) or non-alloy steel",740,"Suriname"
"67245","67245 - Other primary forms of iron (other than iron of heading 671.33) or non-alloy steel.",740,"Suriname"
"67611","67611 - ....of iron or non-alloy steel, containing indentations, ribs, grooves or other deformations produced during the rolling process",740,"Suriname"
"67619","67619 - ....of iron or other alloy and non-alloy steel, n.e.s.",740,"Suriname"
"67621","67621 - ….of iron or non-alloy steel, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",740,"Suriname"
"67629","67629 - ….of iron or other alloy and non-alloy steel, n.e.s.",740,"Suriname"
"67633","67633 - ....other, of iron or non-alloy steel",740,"Suriname"
"67643","67643 - ....of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot extruded but including those twisted after rolling",740,"Suriname"
"67644","67644 - ….of other iron or other non-alloy steel",740,"Suriname"
"67681","67681 - U, I, H, L or T sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of less than 80 mm, of iron or non-alloy steel",740,"Suriname"
"67682","67682 - U, I, H, L or T sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of 80 mm or more, of iron or non-alloy steel",740,"Suriname"
"67683","67683 - Other angles, shapes and sections, not further worked than hot-rolled, hot-drawn or extruded, or iron or non-alloy steel",740,"Suriname"
"67684","67684 - Angles, shapes and sections, not further worked than cold-formed or cold-finished, of iron or non-alloy steel",740,"Suriname"
"67685","67685 - Other angles, shapes and sections, of iron or non-alloy steel",740,"Suriname"
"67686","67686 - Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel",740,"Suriname"
"67701","67701 - Rails (including check rails and rack-rails), of iron or steel",740,"Suriname"
"67709","67709 - Other railway or tramway track construction material of iron or steel (i.e., switch-blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole-plates (base plates), rail clips, bedplates, ties and other material specialized for joining or fixing rails)",740,"Suriname"
"67912","67912 - Line pipe of a kind used for oil or gas pipelines, of iron (other than cast iron) or steel",740,"Suriname"
"67913","67913 - Casing, tubing and drill pipe of a kind used in drilling for oil or gas, of iron (other than cast iron) or steel",740,"Suriname"
"67914","67914 - Other, of circular cross-section, of iron (other than cast iron) or non-alloy steel",740,"Suriname"
"67911","67911 - Tubes, pipes and hollow profiles, of cast iron",740,"Suriname"
"67951","67951 - Cast fittings of non-malleable cast iron",740,"Suriname"
"67959","67959 - Tube and pipe fittings of iron or steel, n.e.s.",740,"Suriname"
"69211","69211 - ....of iron or steel",740,"Suriname"
"69241","69241 - Tanks, casks, drums, cans, boxes and similar containers, for any material (other than compressed or liquefied gas), of iron or steel, of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",740,"Suriname"
"69243","69243 - Containers of iron or steel for compressed or liquefied gas",740,"Suriname"
"69311","69311 - ....of iron or steel",740,"Suriname"
"69731","69731 - Domestic cooking appliances (e.g., kitchen stoves, ranges, cookers, barbecues, braziers, gas rings) and plate warmers, non-electric, of iron or steel",740,"Suriname"
"69732","69732 - Domestic stoves (other than cooking appliances), grates and similar non-electric space heaters (including those with subsidiary boilers for central heating), of iron or steel",740,"Suriname"
"69733","69733 - Parts, of iron or steel, of the appliances of headings 697.31 and 697.32",740,"Suriname"
"69741","69741 - Household articles and parts thereof, n.e.s., of iron or steel",740,"Suriname"
"69744","69744 - Iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel",740,"Suriname"
"69751","69751 - ....of iron or steel",740,"Suriname"
"69931","69931 - Sewing needles, knitting-needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use in the hand, of iron or steel",740,"Suriname"
"69932","69932 - Safety pins and other pins, of iron or steel, n.e.s.",740,"Suriname"
"69961","69961 - Anchors, grapnels and parts thereof, of iron or steel",740,"Suriname"
"69962","69962 - Cast articles of non-malleable cast iron, n.e.s.",740,"Suriname"
"69963","69963 - Cast articles of other iron or steel, n.e.s.",740,"Suriname"
"69965","69965 - Articles of iron or steel, forged or stamped, but not further worked, n.e.s.",740,"Suriname"
"69967","69967 - Articles of iron or steel wire, n.e.s.",740,"Suriname"
"69969","69969 - Articles of iron or steel, n.e.s.",740,"Suriname"
"73731","73731 - Soldering irons and guns",740,"Suriname"
"77584","77584 - Electric smoothing-irons",740,"Suriname"
"27862","27862 - Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel",748,"Swaziland"
"27861","27861 - Granulated slag (slag sand) from the manufacture of iron or steel",748,"Swaziland"
"28231","28231 - Waste and scrap of tinned iron or steel",748,"Swaziland"
"28233","28233 - Remelting scrap ingots of iron or steel",748,"Swaziland"
"52254","52254 - Iron oxides and hydroxides; earth colours containing 70% or more by weight of combined iron evaluated as Fe203",748,"Swaziland"
"67121","67121 - Non-alloy pig-iron containing by weight 0.5% or less of phosphorus",748,"Swaziland"
"67122","67122 - Non-alloy pig-iron containing by weight more than 0.5% of phosphorus",748,"Swaziland"
